borough,precinct,crashes,injuries,fatalities,type_of_injury,year
Manhattan,19,3,2,0,BB,2018
Manhattan,19,2,2,0,BB,2016
Manhattan,19,5,4,0,SB,2017
Manhattan,19,111,111,0,BM,2015
Manhattan,19,7,6,0,SB,2019
Manhattan,19,167,110,0,BM,2019
Manhattan,19,3,3,0,BB,2019
Manhattan,20,3,4,0,BB,2018
Manhattan,20,10,2,0,BP,2017
Manhattan,20,57,56,1,BM,2017
Manhattan,20,66,42,1,BM,2018
Manhattan,20,10,0,0,BP,2015
Manhattan,20,10,7,1,SB,2015
Manhattan,20,3,4,0,BB,2017
Manhattan,20,5,0,0,BP,2018
Manhattan,20,46,46,0,BM,2016
Manhattan,20,2,2,0,SB,2017
Manhattan,20,2,1,0,BB,2015
Manhattan,20,2,2,0,SB,2016
Manhattan,20,68,49,0,BM,2019
Manhattan,20,50,51,0,BM,2015
Manhattan,20,5,5,0,SB,2018
Manhattan,20,7,2,0,BP,2016
Manhattan,20,2,2,0,BB,2019
Manhattan,20,10,0,0,BP,2019
Manhattan,20,3,3,0,BB,2016
Manhattan,20,1,1,0,BB,2014
Manhattan,20,40,40,0,BM,2014
Manhattan,20,9,6,0,SB,2014
Manhattan,20,5,5,0,SB,2019
Manhattan,20,4,0,0,BP,2014
Manhattan,22,14,3,0,BP,2015
Manhattan,22,114,99,0,SB,2014
Manhattan,22,20,24,0,BP,2017
Manhattan,22,17,19,0,BB,2015
Manhattan,22,29,16,0,BP,2016
Manhattan,22,100,80,0,SB,2015
Manhattan,22,57,42,0,SB,2016
Manhattan,22,31,56,0,BB,2017
Manhattan,22,5,5,0,BM,2015
Manhattan,22,53,45,1,SB,2017
Manhattan,22,9,6,0,BM,2018
Manhattan,22,9,4,0,BP,2018
Manhattan,22,7,7,0,BM,2014
Manhattan,22,6,6,0,BM,2017
Manhattan,22,29,28,0,BB,2014
Manhattan,22,94,88,0,SB,2018
Manhattan,22,7,6,1,BM,2019
Manhattan,22,23,11,1,BP,2019
Manhattan,22,90,84,0,SB,2019
Manhattan,22,6,6,0,BM,2016
Manhattan,22,15,13,0,BB,2018
Manhattan,22,44,62,0,BB,2016
Manhattan,22,34,12,0,BP,2014
Manhattan,22,15,12,0,BB,2019
Manhattan,23,0,0,0,BB,2017
Manhattan,23,63,40,0,BM,2018
Manhattan,23,3,1,0,BP,2014
Manhattan,23,0,0,0,BB,2016
Manhattan,23,2,2,0,SB,2017
Manhattan,23,37,37,0,BM,2015
Manhattan,23,2,2,0,SB,2015
Manhattan,23,24,22,2,BM,2014
Manhattan,23,3,2,0,BB,2019
Manhattan,23,0,0,0,SB,2016
Manhattan,23,25,25,0,BM,2017
Manhattan,23,5,0,0,BP,2018
Manhattan,23,0,0,0,BB,2014
Manhattan,23,6,0,0,BP,2017
Manhattan,23,5,1,0,BP,2016
Manhattan,23,5,0,0,BP,2015
Manhattan,23,0,0,0,BB,2018
Manhattan,23,1,0,0,SB,2018
Manhattan,23,27,27,0,BM,2016
Manhattan,23,6,3,0,SB,2014
Manhattan,23,3,2,0,SB,2019
Manhattan,23,0,0,0,BB,2015
Manhattan,23,79,53,0,BM,2019
Manhattan,23,2,0,0,BP,2019
Manhattan,24,0,0,0,BB,2016
Manhattan,24,47,48,0,BM,2017
Manhattan,24,48,48,0,BM,2016
Manhattan,24,10,8,0,SB,2015
Manhattan,24,0,0,0,BB,2019
Manhattan,24,13,2,0,BP,2015
Manhattan,24,47,46,1,BM,2014
Manhattan,24,57,32,0,BM,2019
Manhattan,24,0,0,0,BB,2017
Manhattan,24,7,0,0,BP,2016
Manhattan,24,0,0,0,SB,2019
Manhattan,24,8,1,0,BP,2014
Manhattan,24,40,40,0,BM,2015
Manhattan,24,6,6,0,SB,2014
Manhattan,24,12,3,0,BP,2018
Manhattan,24,4,2,0,SB,2016
Manhattan,24,2,2,0,SB,2018
Manhattan,24,0,0,0,BB,2018
Manhattan,24,1,1,0,BB,2015
Manhattan,24,10,3,0,BP,2017
Manhattan,24,68,43,0,BM,2018
Manhattan,24,2,2,0,BB,2014
Manhattan,24,1,1,0,SB,2017
Manhattan,24,7,0,0,BP,2019
Manhattan,25,1,2,0,BB,2017
Manhattan,25,45,34,0,BM,2018
Manhattan,25,0,0,0,BB,2019
Manhattan,25,2,2,0,SB,2019
Manhattan,25,3,3,0,SB,2017
Manhattan,25,2,1,0,BP,2017
Manhattan,25,3,3,0,SB,2018
Manhattan,25,1,2,0,BB,2018
Manhattan,25,0,0,0,BB,2016
Manhattan,25,4,0,0,BP,2019
Manhattan,25,72,59,1,BM,2019
Manhattan,25,0,0,0,SB,2016
Manhattan,25,2,0,0,BP,2014
Manhattan,25,2,3,0,BB,2015
Manhattan,25,38,37,1,BM,2015
Manhattan,25,2,2,0,BP,2018
Manhattan,25,2,2,0,SB,2014
Manhattan,25,3,0,0,BP,2016
Manhattan,25,3,1,0,BP,2015
Manhattan,25,0,0,0,BB,2014
Manhattan,25,39,39,0,BM,2016
Manhattan,25,30,30,0,BM,2017
Manhattan,25,26,26,0,BM,2014
Manhattan,25,2,1,0,SB,2015
Manhattan,26,6,6,0,SB,2016
Manhattan,26,30,21,0,BM,2019
Manhattan,26,0,0,0,BB,2016
Manhattan,26,1,1,0,BP,2019
Manhattan,26,4,1,0,BP,2014
Manhattan,26,25,25,0,BM,2016
Manhattan,26,1,1,0,BB,2018
Manhattan,26,27,27,0,BM,2017
Manhattan,26,2,0,0,BP,2017
Manhattan,26,0,0,0,BB,2015
Manhattan,26,0,0,0,SB,2019
Manhattan,26,19,20,0,BM,2015
Manhattan,26,3,3,0,SB,2015
Manhattan,26,1,1,0,SB,2017
Manhattan,26,30,21,1,BM,2018
Manhattan,26,5,1,0,BP,2015
Manhattan,26,36,36,0,BM,2014
Manhattan,26,1,1,0,BB,2014
Manhattan,26,2,1,0,SB,2018
Manhattan,26,0,0,0,BB,2017
Manhattan,26,0,0,0,BB,2019
Manhattan,26,3,1,0,BP,2018
Manhattan,26,2,1,0,SB,2014
Manhattan,26,3,0,0,BP,2016
Manhattan,28,2,0,0,BP,2014
Manhattan,28,0,0,0,BB,2015
Manhattan,28,0,0,0,BB,2019
Manhattan,28,3,2,0,SB,2015
Manhattan,28,1,0,0,BP,2016
Manhattan,28,0,0,0,SB,2016
Manhattan,28,59,45,0,BM,2019
Manhattan,28,39,39,0,BM,2016
Manhattan,28,1,1,0,SB,2018
Manhattan,28,4,1,0,BP,2017
Manhattan,28,5,1,0,BP,2019
Manhattan,28,0,0,0,BB,2017
Manhattan,28,42,42,0,BM,2015
Manhattan,28,2,2,0,SB,2014
Manhattan,28,1,1,0,SB,2019
Manhattan,28,0,0,0,BB,2018
Manhattan,28,1,1,0,SB,2017
